"","playerID","LOS","recent_year","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","SO","BB","IBB","HBP","SH","SF","GIDP","inducted"
"1","aaronha01",23,1976,143.391304347826,537.565217391304,94.5217391304348,163.95652173913,27.1304347826087,4.26086956521739,32.8260869565217,99.8695652173913,10.4347826086957,3.17391304347826,60.1304347826087,60.9565217391304,12.7826086956522,1.39130434782609,0.91304347826087,5.26086956521739,14.2608695652174,"Y"
"2","aaronto01",7,1971,62.4285714285714,134.857142857143,14.5714285714286,30.8571428571429,6,0.857142857142857,1.85714285714286,13.4285714285714,1.28571428571429,1.14285714285714,20.7142857142857,12.2857142857143,0.428571428571429,0,1.28571428571429,0.857142857142857,5.14285714285714,"N"
"3","abbated01",8,1910,103.375,367.75,43.25,93.5,11.875,5.375,1.375,38.75,17.25,1,33.25,35.125,1,4,11.375,1,3,"N"
"4","abbotfr01",3,1905,53.3333333333333,171,16,35.6666666666667,7,2,0.333333333333333,16.3333333333333,4.66666666666667,1,25,6.33333333333333,1,2.66666666666667,6.66666666666667,1,3,"N"
"5","abbotje01",5,2001,46.6,119.2,16.4,31.4,6.6,0.4,3.6,16.6,1.2,1,18.2,7.6,0.4,0.6,1,1.4,2.4,"N"
"6","abbotku01",10,2001,70.2,204.4,27.3,52.3,10.9,2.3,6.2,24.2,2.2,1.1,57.1,13.3,1.1,1.7,2.1,1.2,3.7,"N"
"7","abercre01",3,2008,60,128.666666666667,21.6666666666667,28.6666666666667,6.66666666666667,0.666666666666667,3,11.3333333333333,6,2.66666666666667,41,7,0.666666666666667,2.33333333333333,1.66666666666667,0.666666666666667,1,"N"
"8","abernbr01",5,2005,46.4,173.6,19.4,42.4,7.2,1,1.6,15.8,4.2,1.4,18.6,12,0.2,1.4,3.2,0.8,3,"N"
"9","aberscl01",3,1949,21,59.6666666666667,8.33333333333333,15,2.33333333333333,1,1.66666666666667,8.66666666666667,0,1,14.6666666666667,8.33333333333333,1,0,0,1,2,"N"
"10","abnersh01",7,1992,56,120,12.7142857142857,27.2857142857143,5.57142857142857,0.571428571428571,1.57142857142857,10.1428571428571,0.857142857142857,1.14285714285714,21.8571428571429,6.14285714285714,1.42857142857143,1,0.714285714285714,1,2,"N"
"11","abramca01",10,1956,56.7,161.1,25.7,43.3,6.4,1.9,3.2,13.8,1.2,2,29,30.4,1,0.7,1.6,1,2.2,"N"
"12","abreubo01",20,2014,121.25,424,72.65,123.5,28.7,2.95,14.4,68.15,20,6.4,92,73.8,5.75,1.65,0.35,4.25,8.25,"N"
"14","abreuto01",6,2014,37.3333333333333,96.5,10.1666666666667,24.5,6.5,1,1,10,0.333333333333333,0.666666666666667,19.3333333333333,3.66666666666667,0.333333333333333,0.833333333333333,0.166666666666667,1.33333333333333,3.33333333333333,"N"
"15","abstebi01",3,1910,56.6666666666667,206.333333333333,18,50,7.33333333333333,3.33333333333333,0.333333333333333,25.3333333333333,7,1,25,9.66666666666667,1,1.33333333333333,9.66666666666667,1,3,"N"
"16","ackledu01",7,2016,90.7142857142857,303.571428571429,37.2857142857143,73.1428571428571,13.4285714285714,2.57142857142857,6.57142857142857,30.8571428571429,4.42857142857143,1.71428571428571,59.8571428571429,27.7142857142857,1.42857142857143,0.714285714285714,1.57142857142857,1.71428571428571,3.57142857142857,"N"
"17","acostme01",6,1918,30,72.6666666666667,9.33333333333333,18.5,1.5,1.16666666666667,0,6.16666666666667,2.83333333333333,2,7.66666666666667,10.5,1,0.666666666666667,3.16666666666667,1,3,"N"
"19","adairje01",15,1970,77.6666666666667,267.933333333333,25.2,68.1333333333333,10.8666666666667,1.26666666666667,3.8,24.4,1.93333333333333,1.93333333333333,33.2666666666667,13.8666666666667,2.06666666666667,1.13333333333333,2.73333333333333,2,9.93333333333333,"N"
"20","adamecr01",5,2019,35.2,65.6,6.4,14,1.8,0.8,0.4,4.4,0.4,0.8,15.4,6,0.2,1,0.8,0,1.2,"N"
"22","adamsbe01",8,1919,33.375,84.75,4.625,17.125,2.125,0.5,0.25,5.625,1.125,1,15.75,2.875,1,0.125,2.875,1,3,"N"
"23","adamsbo03",15,1959,85.4,267.933333333333,39.4,72.1333333333333,12.5333333333333,3.26666666666667,2.46666666666667,20.2,4.46666666666667,2.33333333333333,29.8,27.6,0.666666666666667,1.13333333333333,5.2,0.866666666666667,4.13333333333333,"N"
"24","adamsbu01",8,1947,72,250.375,35.25,66.5,12,1.5,6.25,31.125,1.5,1,35.125,29.25,1,1.625,5.25,1,4.375,"N"
"25","adamsda02",1,2013,43,140,10,27,5,1,2,13,0,0,43,9,0,2,1,0,4,"N"
"26","adamsgl01",8,1982,82.625,202.125,19,56.5,9.875,0.625,4.25,28.125,0.75,1.25,22.875,13.875,1,0.5,1.125,2.375,5.875,"N"
"27","adamshe01",3,1950,31.6666666666667,112.333333333333,13,29.3333333333333,2.66666666666667,2,0,6,1.33333333333333,0.666666666666667,8,7.33333333333333,1,0.666666666666667,1,1,1.66666666666667,"N"
"28","adamsla01",3,2018,39,45.6666666666667,10,12,1.66666666666667,0.333333333333333,2.33333333333333,8.66666666666667,3.66666666666667,0,15.6666666666667,4.66666666666667,0,0.333333333333333,0.333333333333333,0.333333333333333,1.33333333333333,"N"
"30","adamsmi02",5,1978,20,23.6,5.4,4.6,1,0,0.6,1.8,0.4,0.2,5.8,6.4,0,0.4,0,0,0.4,"N"
"31","adamsri02",3,1985,40,82.3333333333333,11.6666666666667,17.6666666666667,1.66666666666667,0.333333333333333,1.33333333333333,5.33333333333333,1,0.666666666666667,12.3333333333333,3.33333333333333,1,1.66666666666667,2.33333333333333,0,1.66666666666667,"N"
"32","adamsru01",5,2009,57.2,176.8,25,43.6,9.2,1.4,3.4,22.6,3,1,23.6,17,0.4,1,1.6,2.2,2.8,"N"
"33","adamssp01",14,1934,101.714285714286,396.928571428571,60.2857142857143,113.428571428571,17.7857142857143,3.42857142857143,0.642857142857143,28.1428571428571,11,4.28571428571429,15.9285714285714,32.3571428571429,1,2,9.71428571428571,1,3.35714285714286,"N"
"34","adamssp02",4,1927,45,98.75,15.25,25.25,4,1.25,0,9.5,1.25,2.5,12.5,9.5,1,0.5,3,1,3,"N"
"35","adcocjo01",17,1966,115.235294117647,388.588235294118,48.4117647058824,107.764705882353,17.3529411764706,2.05882352941176,19.7647058823529,66,1.17647058823529,1.52941176470588,62.2941176470588,34.9411764705882,3.52941176470588,1,3.05882352941176,2.29411764705882,13.1176470588235,"N"
"36","addisbo01",5,1953,41.6,106.8,14,30,4.4,0.4,0.4,9.4,1.6,1.4,9.4,7.4,1,0,1,1,1.8,"N"
"37","adducji01",4,1989,17.5,36,2.75,8.5,2,0.25,0.25,3.75,0,0.25,6.75,0.5,0,0,0.25,0.75,0.25,"N"
"38","adducji02",5,2019,30.2,79.2,9.6,18.4,3.6,0.8,1,7.8,1.4,0.4,22.2,5.8,0,0,0.6,0.6,1,"N"
"40","aderhmo01",6,1945,17.6666666666667,43.6666666666667,6,11.6666666666667,1.16666666666667,0.5,0.5,5.33333333333333,0.5,0.666666666666667,4.83333333333333,3.16666666666667,1,0,0,1,0.166666666666667,"N"
"41","adlesda01",6,1968,17.6666666666667,42.6666666666667,1.5,7.16666666666667,0.5,0.166666666666667,0.166666666666667,1.83333333333333,0,0,13.3333333333333,3,0.833333333333333,0.333333333333333,0.333333333333333,0.166666666666667,1.5,"N"
"43","agbaybe01",6,2002,63.8333333333333,181.833333333333,24.1666666666667,49.8333333333333,9.5,1,6.5,26,2.66666666666667,2.66666666666667,41,23.1666666666667,1.16666666666667,2.5,0.166666666666667,1.33333333333333,5.16666666666667,"N"
"44","ageeto01",13,1973,86.8461538461538,300.923076923077,42.9230769230769,76.8461538461538,13.0769230769231,2.07692307692308,10,33.3076923076923,12.8461538461538,6.23076923076923,70.6153846153846,26.3076923076923,2,2.61538461538462,1.61538461538462,1.15384615384615,7.61538461538461,"N"
"45","agganha01",2,1955,78.5,258.5,32.5,67.5,11.5,4.5,5.5,33.5,4,1.5,33.5,28.5,0.5,0,3.5,3,4.5,"N"
"46","aglerjo01",4,1915,58.5,187.75,30.25,46.25,5.5,2.5,0,9,9.5,1,38,32.75,1,0.25,5.25,1,3,"N"
"47","agnewsa01",7,1919,80.4285714285714,219.571428571429,15,44.8571428571429,5.85714285714286,2,0.285714285714286,14,4.14285714285714,2.14285714285714,30.8571428571429,14.5714285714286,1,3.57142857142857,6.71428571428571,1,3,"N"
"48","aguaylu01",11,1989,51.6363636363636,100.363636363636,12.9090909090909,23.6363636363636,3.90909090909091,0.909090909090909,3.36363636363636,9.90909090909091,0.636363636363636,0.454545454545455,20,8.54545454545454,1.09090909090909,1.81818181818182,1.27272727272727,1.09090909090909,2.45454545454545,"N"
"49","aguilch01",4,2008,37.25,57.5,6.5,13.25,3.25,0.5,0.75,4,0.5,0.5,15.25,4,0.25,0,0.5,0,0.75,"N"
"52","aikenwi01",8,1985,96.75,311.5,37.625,84.375,15.625,0.25,13.75,51.875,0.375,0.75,55.5,39.875,5.25,2.25,0,3.375,10.875,"N"
"53","aingeda01",3,1981,70.3333333333333,221.666666666667,19,48.6666666666667,6.33333333333333,1.33333333333333,0.666666666666667,12.3333333333333,4,1.66666666666667,42.6666666666667,12.3333333333333,0.666666666666667,1.33333333333333,4,1,5.33333333333333,"N"
"54","ainsmed01",17,1924,63.4117647058824,179.294117647059,17.5882352941176,41.5882352941176,6.35294117647059,3.17647058823529,1.29411764705882,18.6470588235294,5.05882352941176,1.41176470588235,22.3529411764706,15.4705882352941,1,0.705882352941177,5.82352941176471,1,3,"N"
"55","akersbi01",4,1932,43.5,118.75,16,31,4.25,2.25,2.75,17.25,1.75,1.75,16,15.75,1,0.25,3.5,1,3,"N"
"59","alcanar01",4,2017,41.75,107,12.75,20.25,3.75,0.75,2.75,9.75,3.5,2,37.5,6,0,0.5,0.75,0.5,1.5,"N"
"60","alcanis01",3,2002,17,38.3333333333333,5,10.3333333333333,1,0,2,5,0.333333333333333,0.333333333333333,8.66666666666667,2,0,0,0,0,1,"N"
"62","alcarlu01",4,1970,28.75,91.25,7.5,17.5,2.25,0.5,1,7.25,0.5,0.5,14.5,5.25,0.5,0,0.5,0.5,1.75,"N"
"63","alcocsc01",1,1914,54,156,12,27,4,2,0,7,4,2,14,7,1,1,5,1,3,"N"
"64","aldremi01",13,1996,71.5384615384615,165.153846153846,21.3076923076923,43.4615384615385,8,0.692307692307692,3.15384615384615,20.8461538461538,1.46153846153846,1.38461538461538,29.3076923076923,24.1538461538462,2.23076923076923,0.384615384615385,1.07692307692308,1.38461538461538,3.30769230769231,"N"
"65","alenoch01",4,1944,29.5,80,8.5,16.75,2.75,0.75,0.5,8.5,0.75,1,8.75,7.75,1,0.25,1,1,1.75,"N"
"66","alexada01",6,1933,110.333333333333,408.333333333333,61.5,135.166666666667,27.3333333333333,5,10.1666666666667,76.5,3.33333333333333,4.66666666666667,32.8333333333333,41.3333333333333,1,1,5.33333333333333,1,3,"N"
"67","alexaga01",8,1981,54,159.5,21.125,36.625,5.625,1.375,6.875,25.25,1,1.5,47.625,19.25,1.5,0.625,0.5,2.375,4.25,"N"
"68","alexama01",9,1981,41.5555555555556,18.6666666666667,12.3333333333333,4,0.444444444444444,0.222222222222222,0,0.444444444444444,11.4444444444444,4.66666666666667,2.88888888888889,2,0.111111111111111,0.111111111111111,0.888888888888889,0,0.222222222222222,"N"
"69","alexama02",12,2006,49.5,105.916666666667,13.8333333333333,24.4166666666667,4.16666666666667,1,1.25,9.58333333333333,3.08333333333333,0.833333333333333,23,7.16666666666667,0.583333333333333,0.583333333333333,1.58333333333333,0.333333333333333,1.41666666666667,"N"
"70","alexape01",21,1930,33.4761904761905,86.1904761904762,7.33333333333333,18,2.85714285714286,0.619047619047619,0.523809523809524,7.76190476190476,0.142857142857143,0.904761904761905,13.1428571428571,3.66666666666667,1,0.0952380952380952,4.19047619047619,1,3,"Y"
"71","alexawa01",6,1917,27,67.5,4.33333333333333,12.6666666666667,3,0.5,0.166666666666667,4,0.833333333333333,1,17.5,7,1,0.666666666666667,2.66666666666667,1,3,"N"
"73","alfoned01",13,2006,115.846153846154,414.230769230769,59.7692307692308,117.846153846154,21.6923076923077,1.38461538461538,11.2307692307692,57.2307692307692,4.07692307692308,1.30769230769231,47.4615384615385,45.8461538461538,1.69230769230769,3.15384615384615,2.38461538461538,4.23076923076923,8.46153846153846,"N"
"74","alfonel01",6,2011,32.1666666666667,98.5,7.33333333333333,23.6666666666667,4,0.5,2.83333333333333,11.1666666666667,0.166666666666667,0.333333333333333,26.3333333333333,2.83333333333333,1.5,1.5,0.666666666666667,0.5,2.83333333333333,"N"
"76","alicelu01",13,2002,103.153846153846,305.461538461538,42.3846153846154,79.3076923076923,14.5384615384615,4.07692307692308,3.61538461538462,32.4615384615385,6.23076923076923,3.84615384615385,48,38.4615384615385,2,3.69230769230769,3.76923076923077,3.46153846153846,5.69230769230769,"N"
"77","allanan01",8,1995,64,185.75,18.125,44.625,6,0.5,2,17.5,2.875,2.25,27.875,10.875,0.5,1.125,4.375,2,3.375,"N"
"79","allenbe01",13,1973,87.6153846153846,261.846153846154,27.4615384615385,62.6923076923077,10.7692307692308,1.61538461538462,5.61538461538461,27.0769230769231,1,1.23076923076923,32.6153846153846,28.4615384615385,4,0.615384615384615,1.84615384615385,1.30769230769231,4.61538461538461,"N"
"80","allenbr01",6,2012,19.3333333333333,57.3333333333333,7.33333333333333,11.6666666666667,3.16666666666667,0.333333333333333,2,6.83333333333333,0.5,0,22.8333333333333,7,1,0.166666666666667,0,0.333333333333333,0.666666666666667,"N"
"81","allench01",7,2005,38.1428571428571,121.571428571429,14.5714285714286,32.7142857142857,6.28571428571429,1.14285714285714,2,12,2.14285714285714,1.85714285714286,24.7142857142857,9,0.285714285714286,0.571428571428571,0.714285714285714,0.714285714285714,3.28571428571429,"N"
"82","allendi01",15,1977,116.6,422.133333333333,73.2666666666667,123.2,21.3333333333333,5.26666666666667,23.4,74.6,8.86666666666667,3.46666666666667,103.733333333333,59.6,9.2,1.06666666666667,1.26666666666667,3.53333333333333,10.9333333333333,"N"
"83","allenet01",15,1938,85.4,294.533333333333,41.5333333333333,88.3333333333333,17,3,3.13333333333333,33.4,5.6,1.13333333333333,20.6666666666667,14.8666666666667,1,0.933333333333333,7.33333333333333,1,4.53333333333333,"N"
"84","allenga01",7,1985,59.4285714285714,151.571428571429,16.2857142857143,33.5714285714286,7,0.285714285714286,2.71428571428571,18.7142857142857,0.428571428571429,1,27.4285714285714,18.5714285714286,0.428571428571429,0.714285714285714,2.14285714285714,1.57142857142857,5,"N"
"86","allenha02",8,1973,48.625,110.125,13,26.5,3.375,1.125,0.75,7.125,1.875,1.125,16,6.125,0.625,0.25,0.25,0.5,3.75,"N"
"87","allenja02",1,1983,86,273,23,61,10,0,4,21,6,5,52,33,0,1,6,0,8,"N"
"88","allenje01",6,1999,57,171.833333333333,25.8333333333333,44.6666666666667,8.16666666666667,1.33333333333333,2.5,19,7,3.33333333333333,38,17.3333333333333,0.166666666666667,4,3.5,1.66666666666667,1.5,"N"
"89","allenni01",6,1920,36,83.3333333333333,6.83333333333333,19.3333333333333,2.16666666666667,0.833333333333333,0,6,1.33333333333333,0.833333333333333,12.1666666666667,5.5,1,1,1.66666666666667,1,3,"N"
"90","alleyge01",11,1973,108.636363636364,357,40.1818181818182,90.8181818181818,12.7272727272727,4,5,31.0909090909091,5.72727272727273,2.72727272727273,56.5454545454545,27.2727272727273,5.63636363636364,2.45454545454545,5.09090909090909,2,8.63636363636364,"N"
"91","alliega01",1,1954,121,418,38,83,8,6,3,30,1,1,84,56,1,2,3,3,3,"N"
"92","allisbo01",13,1970,118.538461538462,387.076923076923,62.3846153846154,98.5384615384615,16.6153846153846,4.07692307692308,19.6923076923077,61.2307692307692,6.46153846153846,3.84615384615385,79.4615384615385,61.1538461538462,2.30769230769231,2.61538461538462,1.92307692307692,2.69230769230769,8.84615384615385,"N"
"93","allrebe01",3,1991,21.6666666666667,55,6.33333333333333,12.6666666666667,2.33333333333333,0,1.33333333333333,5,0.666666666666667,0.666666666666667,16,9.66666666666667,0.666666666666667,0.333333333333333,1,0.666666666666667,0.333333333333333,"N"
"94","almadme01",10,1939,64.6,248.3,36.3,70.6,10.7,2.7,1.5,19.7,5.6,2.8,15,21.4,1,0.5,3.5,1,2.8,"N"
"95","almeira01",3,1913,34,95,10.6666666666667,25.6666666666667,4.33333333333333,2,1,15.3333333333333,2.33333333333333,1,13.3333333333333,8.33333333333333,1,1,3.66666666666667,1,3,"N"
"97","almonbi01",17,1988,72.7058823529412,195.882352941176,22.9411764705882,49.7647058823529,8.11764705882353,1.47058823529412,2.11764705882353,17.4117647058824,7.52941176470588,3.52941176470588,37.4117647058824,14.7058823529412,1.41176470588235,0.352941176470588,2.58823529411765,1.70588235294118,3.11764705882353,"N"
"98","almoner01",3,2011,18.3333333333333,44.3333333333333,6,10.3333333333333,2.33333333333333,0,0.666666666666667,4.66666666666667,1,0,9.66666666666667,2.66666666666667,0,0.333333333333333,0.666666666666667,0,1.66666666666667,"N"
"99","almonzo01",2,2014,23.5,71,5.5,15,2,0,1,6,2,0.5,16.5,3,0,0,0,0.5,1.5,"N"
"101","alomaro01",19,2004,125.210526315789,477.526315789474,79.3684210526316,143.368421052632,26.5263157894737,4.21052631578947,11.0526315789474,59.6842105263158,24.9473684210526,6,60,54.3157894736842,3.26315789473684,2.63157894736842,7.78947368421053,5.10526315789474,10.8421052631579,"Y"
"102","alomasa01",18,1978,82.2777777777778,264.444444444444,31,64.8888888888889,7,1.05555555555556,0.722222222222222,15.6666666666667,12.6111111111111,4.44444444444444,26.7777777777778,16.7777777777778,0.944444444444444,0.166666666666667,4.27777777777778,1,3.22222222222222,"N"
"103","alomasa02",22,2007,62.5909090909091,205.909090909091,23.6363636363636,56.1818181818182,11.3181818181818,0.454545454545455,5.09090909090909,26.7272727272727,1.13636363636364,1.09090909090909,22.6818181818182,9.63636363636364,0.681818181818182,1.86363636363636,2.18181818181818,1.54545454545455,6,"N"
"105","alonsyo01",12,2019,89.3333333333333,280.166666666667,32.5833333333333,72.6666666666667,15.0833333333333,0.166666666666667,8.33333333333333,35.5,1.83333333333333,0.666666666666667,54,30.5,2.41666666666667,1.33333333333333,0.0833333333333333,2.33333333333333,7.83333333333333,"N"
"106","aloufe01",19,1974,109.578947368421,386.263157894737,51.8421052631579,110.578947368421,18.8947368421053,2.57894736842105,10.8421052631579,44.8421052631579,5.63157894736842,3.52631578947368,37.1578947368421,22.2631578947368,3.52631578947368,3,1.73684210526316,2.94736842105263,7.10526315789474,"N"
"107","alouje01",16,1979,86.25,271.5625,28,76,10.625,1.625,2,23.5625,1.9375,2.875,16.6875,8.625,2,1.875,2.75,1.25,8.9375,"N"
"108","alouma01",17,1974,98.0588235294118,340.529411764706,45.8823529411765,104.529411764706,13.8823529411765,2.94117647058824,1.82352941176471,25.1176470588235,9.17647058823529,4.70588235294118,22.1764705882353,18.2941176470588,2.23529411764706,2.11764705882353,3.23529411764706,1.70588235294118,5.94117647058824,"N"
"109","aloumo01",18,2008,107.888888888889,390.944444444444,61.6111111111111,118.555555555556,23.3888888888889,2.16666666666667,18.4444444444444,71.5,5.88888888888889,2.05555555555556,49.6666666666667,40.9444444444444,5.05555555555556,2.66666666666667,0.5,4.55555555555556,10.8333333333333,"N"
"110","alperwh01",4,1909,112.5,408,33.5,96.75,15,9,1.75,35.25,6.75,1,45.75,7.5,1,9.75,14.25,1,3,"N"
"111","alstode01",5,1980,37.8,66.4,9.6,15.8,1.4,0.8,0.6,7,4,4.2,8.8,5.6,0.6,0.4,1.4,1,0.8,"N"
"112","alstoto01",4,1957,22.75,67.75,7.5,16.5,3.75,0.5,1,9,0.75,1.25,11.5,6.25,0.25,0.5,0,0.25,1.5,"N"
"113","altheaa01",8,2019,44.875,127,17.75,27.75,6.75,1.25,4.625,18.75,2.625,1.25,41.5,13.75,0.5,2.875,0.125,0.75,4.125,"N"
"114","altizda01",7,1911,73.4285714285714,247.714285714286,29.1428571428571,61.8571428571429,5.14285714285714,3,0.571428571428571,16.5714285714286,17,1,17.1428571428571,20,1,4.71428571428571,12,1,3,"N"
"115","altmage01",9,1967,110.111111111111,343.444444444444,45.4444444444444,92.4444444444444,14.6666666666667,3.77777777777778,11.2222222222222,44.7777777777778,5.77777777777778,2.44444444444444,63.5555555555556,29.7777777777778,4.22222222222222,2.22222222222222,2.11111111111111,2.33333333333333,4.77777777777778,"N"
"116","altobjo01",3,1961,55.3333333333333,85.6666666666667,9,18,2.66666666666667,1,1.66666666666667,9.33333333333333,1,1,14,7.66666666666667,0,0.666666666666667,1.66666666666667,1,1,"N"
"117","altroni01",20,1933,10.95,26.05,2.4,4.5,0.45,0.05,0.1,1.25,0.2,0.75,5.35,1.35,0.9,0.5,0.75,0.9,2.7,"N"
"119","alusige01",6,1964,49.6666666666667,108.666666666667,12.5,27.8333333333333,5.16666666666667,0.333333333333333,3.83333333333333,15.5,0.166666666666667,0.333333333333333,17.1666666666667,12.1666666666667,0.5,0.666666666666667,0.666666666666667,0.666666666666667,2.66666666666667,"N"
"121","alvarga01",4,2000,23,66.5,5.5,14.75,3.75,0,1.75,8.25,0.25,1,19,6,0.25,0.5,0,0.5,0.5,"N"
"122","alvarlu01",12,1977,38.5833333333333,96.6666666666667,9.66666666666667,20.6666666666667,3.58333333333333,0.333333333333333,0.416666666666667,7,0.916666666666667,0.833333333333333,13.3333333333333,4.08333333333333,0.833333333333333,0.25,1.16666666666667,0.416666666666667,2.25,"N"
"123","alvaros01",2,1959,47.5,99,10,21,1.5,0,0,2.5,0.5,0.5,13.5,8,0,0,2.5,0,0.5,"N"
"124","alvarpe01",9,2018,101.111111111111,331.111111111111,40.5555555555556,78.2222222222222,14.5555555555556,0.666666666666667,18,52.4444444444444,1.66666666666667,0.333333333333333,105.777777777778,34.8888888888889,3.44444444444444,1.22222222222222,0.111111111111111,1.66666666666667,7.88888888888889,"N"
"126","alvisma01",9,1970,112.555555555556,403.222222222222,46.7777777777778,99.4444444444444,15.7777777777778,2.44444444444444,12.3333333333333,41.4444444444444,4.77777777777778,5.11111111111111,73.5555555555556,29.1111111111111,2.77777777777778,3.88888888888889,4,2.44444444444444,7.77777777777778,"N"
"127","alyeabr01",8,1972,46.375,108.25,12.5,26.75,4.125,0.25,4.75,18.5,0.625,0.875,26.25,12.5,0.875,0.75,0,1.25,4.5,"N"
"128","amalfjo01",10,1967,64.3,171.5,24.8,41.8,6.7,1.9,0.9,12.3,1.9,2.6,22.4,18.5,1,1.2,1.7,0.8,3.7,"N"
"129","amarari01",10,2000,72.7,178.8,30.5,49.3,8.2,1,1.1,15.9,11.2,3.9,27.7,17.6,0.1,1.6,2.9,1.3,3.7,"N"
"130","amarial01",8,2017,87.75,218.75,21.375,50.5,8.375,2,2.625,21.125,4.875,1.25,36.875,13.625,1.625,0.5,2.875,1.875,4,"N"
"131","amaroru01",11,1969,85.4545454545455,195.909090909091,19.1818181818182,45.9090909090909,6.81818181818182,1.18181818181818,0.727272727272727,14.1818181818182,1,1.27272727272727,25.4545454545455,20.6363636363636,2.18181818181818,0.909090909090909,4.27272727272727,1.09090909090909,4.81818181818182,"N"
"132","amaroru02",8,1998,60.625,115.875,12.375,27.25,5.375,1.125,2,12.5,1.875,1.25,16,11,0.25,2,1.375,1,2.75,"N"
"133","amblewa01",3,1939,90.3333333333333,260.666666666667,20,58.3333333333333,13,0.666666666666667,0,24.3333333333333,1.33333333333333,0.333333333333333,21.3333333333333,27.6666666666667,1,0,8.33333333333333,1,5.33333333333333,"N"
"134","ambrech01",3,2008,26.6666666666667,63,9.33333333333333,14.6666666666667,3,0,1.33333333333333,3.33333333333333,1.33333333333333,0.666666666666667,16,7.66666666666667,0.333333333333333,0.666666666666667,1,0.333333333333333,1.66666666666667,"N"
"135","amezaal01",11,2011,53.0909090909091,128,15.7272727272727,31.6363636363636,4.27272727272727,1.72727272727273,1.09090909090909,10,4.45454545454545,2.36363636363636,20.2727272727273,10.1818181818182,0.636363636363636,1.27272727272727,2.54545454545455,0.727272727272727,1.90909090909091,"N"
"136","amorosa01",8,1960,64.625,163.875,26.875,41.75,6.875,2.875,5.375,22.5,2.25,1.875,23.625,26.375,2.25,1.375,2.25,1,2.875,"N"
"137","anderal01",3,1946,42,130,18.6666666666667,31,3.66666666666667,1,0.333333333333333,5.66666666666667,2,1,16.3333333333333,11,1,0.333333333333333,1.66666666666667,1,2.33333333333333,"N"
"138","anderan01",2,1949,61,111.5,11.5,20.5,4,0.5,1,8.5,0,0.5,18,11,1,0,1.5,1,5.5,"N"
"139","anderbr01",16,2002,114.625,406.1875,66.375,103.8125,21.125,4.1875,13.125,47.5625,19.6875,6.25,74.375,60,3.6875,9.625,4.625,3.125,4.0625,"N"
"140","anderbr03",6,2009,59.1666666666667,133.166666666667,18,30.1666666666667,7.83333333333333,0.166666666666667,3.66666666666667,13.3333333333333,2.16666666666667,2.33333333333333,34.6666666666667,10.8333333333333,0.333333333333333,1.33333333333333,1.16666666666667,0.666666666666667,2.5,"N"
"142","anderda02",10,1992,87.3,202.6,24.4,49,7.3,1.2,1.9,14.3,4.9,3,33.1,20.6,1.7,0.5,3.7,1.3,4.9,"N"
"143","anderdw01",6,1974,24.8333333333333,51,5.5,10.3333333333333,1,0.333333333333333,0.166666666666667,2.33333333333333,0.333333333333333,0.333333333333333,11.6666666666667,5.33333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,1,"N"
"144","anderfe01",2,1953,48.5,117,10,30.5,6,0,1,7.5,0.5,0.5,12.5,9,1,2,3.5,1,3,"N"
"145","anderga01",17,2010,131.058823529412,508.235294117647,63.7647058823529,148.764705882353,30.7058823529412,2.11764705882353,16.8823529411765,80.2941176470588,4.70588235294118,2.76470588235294,72,25.2352941176471,6.11764705882353,0.470588235294118,0.764705882352941,5.11764705882353,11.5882352941176,"N"
"146","anderge01",3,1918,89.6666666666667,335.666666666667,49.3333333333333,96.3333333333333,13.3333333333333,5.66666666666667,1.66666666666667,23,12,1,37,32.6666666666667,1,5,6.33333333333333,1,3,"N"
"147","andergo01",1,1907,127,413,73,85,3,1,1,12,27,1,44,80,1,6,11,1,3,"N"
"148","anderha02",6,1961,80.6666666666667,264.333333333333,33.1666666666667,69.8333333333333,13.6666666666667,2.66666666666667,10,40.3333333333333,0.5,1,48.5,26.5,5.33333333333333,2.66666666666667,1.5,2.5,4.83333333333333,"N"
"149","anderji01",6,1984,69.8333333333333,161.666666666667,17.8333333333333,35.1666666666667,5.83333333333333,0.333333333333333,2.16666666666667,14.3333333333333,1.5,2.16666666666667,21.6666666666667,13.5,0.333333333333333,0.833333333333333,4.83333333333333,1,3.83333333333333,"N"
"150","anderjo01",9,1908,115.444444444444,442,52.2222222222222,126.222222222222,23.7777777777778,5.44444444444444,2.33333333333333,61.8888888888889,21.7777777777778,1,26.3333333333333,22.6666666666667,1,2.33333333333333,4.77777777777778,1,3,"N"
"151","anderjo03",4,2009,44.75,121.5,18.25,33,4.25,1.25,1,11.75,9,1.75,20.5,6.5,0.5,1,0.5,0.25,2,"N"
"152","anderke01",2,1990,67.5,183,21.5,47.5,6,1,0.5,11,0.5,2,30.5,15,0.5,1,5,0.5,4,"N"
"153","anderma02",14,2009,82.2142857142857,228.857142857143,28,60.6428571428571,12.4285714285714,1.42857142857143,4.5,26.5,5.07142857142857,1.71428571428571,33.6428571428571,16.2142857142857,2,1.07142857142857,2.21428571428571,2.21428571428571,4.28571428571429,"N"
