"","playerID","LOS","recent_year","G","AB","R","H","X2B","X3B","HR","RBI","SB","CS","SO","BB","IBB","HBP","SH","SF","GIDP","inducted"
"1893","finnne01",4,1933,80.25,261,31.25,68.5,11,1.25,0.75,25.5,2.25,1,22.25,17,1,2.5,7.5,1,3.25,"N"
"1894","fioreje01",4,2009,14.5,37,5.75,10,1.25,0,0.25,5.25,1,0,7.25,4.25,0,0.25,0.75,1,0.5,"N"
"1895","fioremi01",7,1972,36.2857142857143,79.4285714285714,10.7142857142857,18,2.57142857142857,0.142857142857143,1.85714285714286,7.14285714285714,0.714285714285714,1.14285714285714,16.4285714285714,17.7142857142857,1,0.428571428571429,0.428571428571429,0.285714285714286,1.85714285714286,"N"
"1896","fischmi01",10,1987,51.7,94.1,10.9,20.7,2.9,0.6,0.3,6.8,2.4,1.3,14.2,9.2,0.1,0.5,3.9,0.5,1.1,"N"
"1897","fischwi01",6,1917,68.6666666666667,183.166666666667,18.1666666666667,50.1666666666667,8.33333333333333,2.5,1.66666666666667,19.1666666666667,3.33333333333333,1,11,15,1,1,4.83333333333333,1,3,"N"
"1898","fishebo01",7,1919,71.8571428571429,248.857142857143,27,68.5714285714286,8.71428571428571,3.71428571428571,1.57142857142857,24.2857142857143,6.85714285714286,3.71428571428571,22.4285714285714,11.4285714285714,1,0.571428571428571,11.7142857142857,1,3,"N"
"1900","fishegu01",2,1912,37,106.5,10.5,27,3,1.5,0,6,3,1,22,3.5,1,2.5,2.5,1,3,"N"
"1901","fishesh01",4,1932,34.5,85,15.5,28.5,5.25,1.5,2,17.75,1.5,0.25,8.75,9.25,1,0.25,1.5,1,3,"N"
"1902","fiskca01",24,1993,104.125,364.833333333333,53.1666666666667,98.1666666666667,17.5416666666667,1.95833333333333,15.6666666666667,55.4166666666667,5.33333333333333,2.41666666666667,57.75,35.375,4.375,5.95833333333333,1.08333333333333,3.29166666666667,8.5,"Y"
"1903","fitzged01",14,1959,57.6428571428571,149,14.2142857142857,38.7142857142857,5.85714285714286,0.714285714285714,1.35714285714286,15.5,0.642857142857143,0.642857142857143,16.7857142857143,13.2142857142857,0.785714285714286,0.857142857142857,1.57142857142857,0.857142857142857,5.42857142857143,"N"
"1904","fitzgho01",3,1926,16,46.6666666666667,5,12,1,0,0,4.66666666666667,0.666666666666667,1.33333333333333,3.66666666666667,2.66666666666667,1,0,0.666666666666667,1,3,"N"
"1905","fitzgmi01",2,1918,41,85,13.5,24.5,4.5,0,0,6,3.5,1,14,8.5,1,0.5,3.5,1,3,"N"
"1906","fitzgmi02",10,1992,84.8,231.6,22,54.5,9.5,0.9,4.8,29.3,3.1,2,43.2,29.2,4.2,0.9,2.8,2.2,6.5,"N"
"1907","fitzped01",3,1917,83.6666666666667,232.333333333333,30.3333333333333,52.6666666666667,11.6666666666667,2.33333333333333,0.333333333333333,19.6666666666667,7.33333333333333,3.33333333333333,28,23.3333333333333,1,8,11.3333333333333,1,3,"N"
"1908","flackma01",13,1925,108.538461538462,404,60.2307692307692,112.384615384615,16.3076923076923,5.53846153846154,2.69230769230769,30.0769230769231,15.3846153846154,5.84615384615385,19.4615384615385,36.4615384615385,1,2.46153846153846,11.3076923076923,1,3,"N"
"1909","flagewa01",2,1945,35,110,13,26.5,2.5,0.5,1,10.5,0.5,1,10,12.5,1,0.5,0.5,1,1.5,"N"
"1910","flagsir01",16,1930,76.125,258.6875,40.25,75.125,16.375,3.125,2.5,28.125,4.4375,3.875,18,29.1875,1,3.3125,8.25,1,3,"N"
"1911","flahejo01",15,2005,69.8,224.8,21.2666666666667,56.6,11.7333333333333,0.2,5.33333333333333,26.3333333333333,0.666666666666667,1.26666666666667,34.2666666666667,11.6666666666667,1,1.26666666666667,2.73333333333333,2.2,6.46666666666667,"N"
"1912","flahepa02",9,1911,25.3333333333333,66.6666666666667,5.55555555555556,13.1111111111111,2,1.33333333333333,0.666666666666667,7.11111111111111,1,1,13.8888888888889,4.11111111111111,1,0.111111111111111,1.55555555555556,1,3,"N"
"1913","flahery01",8,2019,68.375,165.5,19,35.5,6.5,0.625,4.625,17.75,1.25,0.25,45,14,1.5,2.375,1.5,0.75,2.875,"N"
"1914","flannti01",11,1989,88.3636363636364,224.818181818182,23.1818181818182,57.3636363636364,7,2.27272727272727,0.818181818181818,19,2,2,26.6363636363636,25.1818181818182,3.18181818181818,2.90909090909091,2.90909090909091,2.18181818181818,3.90909090909091,"N"
"1915","flemile01",7,1949,62,190,24,52.7142857142857,9.85714285714286,2.14285714285714,4.14285714285714,28.4285714285714,1,1.28571428571429,21.7142857142857,32.2857142857143,1,1.42857142857143,0.857142857142857,1,4.42857142857143,"N"
"1916","fletcar01",14,1922,109.5,395.785714285714,48.8571428571429,109.571428571429,17,5.5,2.28571428571429,48.2142857142857,11.4285714285714,2.71428571428571,25.3571428571429,14.5,1,10.0714285714286,11,1,3,"N"
"1917","fletcda01",15,2002,83,260.133333333333,25.1333333333333,69.8666666666667,14.2666666666667,0.533333333333333,8.26666666666667,38.8666666666667,0.133333333333333,0.4,26.6,17,2.06666666666667,3.26666666666667,0.866666666666667,3.4,8.13333333333333,"N"
"1919","fletcel01",13,1949,108.846153846154,375.307692307692,55.6153846153846,101.769230769231,17.5384615384615,4.46153846153846,6.07692307692308,47.3846153846154,2.46153846153846,1,38.0769230769231,65.4615384615385,1,3.23076923076923,4.15384615384615,1,7.46153846153846,"N"
"1920","fletcsc01",16,1995,100.75,328.625,43,86,15.1875,2.375,2.125,31.875,6.1875,3.625,33.8125,32.125,0.8125,3.5625,6.9375,2.25,6.8125,"N"
"1921","flickel01",12,1910,101.833333333333,388.25,64,120.75,19.1666666666667,11.6666666666667,3.16666666666667,48.0833333333333,23,1,41.6666666666667,39.0833333333333,1,6.08333333333333,8.5,1,3,"Y"
"1922","floodcu01",15,1971,117.266666666667,423.8,56.7333333333333,124.066666666667,18.0666666666667,2.93333333333333,5.66666666666667,42.4,5.86666666666667,4.86666666666667,40.6,29.6,1.46666666666667,3.46666666666667,4.8,2.2,7.8,"N"
"1923","floodti01",2,1903,110.5,392.5,35,90.5,13,3,1.5,41.5,11,1,50,19,1,6,17,1,3,"N"
"1924","floregi01",3,1979,61.6666666666667,154.666666666667,19.3333333333333,40.3333333333333,6.66666666666667,2,0.666666666666667,12.3333333333333,5,3.33333333333333,20.3333333333333,11.3333333333333,0.666666666666667,0.666666666666667,3.33333333333333,0.333333333333333,4.66666666666667,"N"
"1925","floreje02",5,2012,62.2,187.4,16.8,45.2,9.6,0.8,4.6,25.4,0.2,0.8,47.6,11.6,1.4,1.6,0.6,1.6,4,"N"
"1926","florepa01",1,1926,76,188,19,43,4,3,2,14,2,1,12,23,1,3,2,1,3,"N"
"1927","florera02",3,2017,39.6666666666667,96.3333333333333,7,19.6666666666667,3,0,0.666666666666667,6.66666666666667,1,0,21,10.3333333333333,1,0.666666666666667,1.33333333333333,1.66666666666667,3.66666666666667,"N"
"1929","floripe01",8,2018,40.125,98.5,12,20.75,4.375,0.875,1.5,9.125,3.25,1.25,30.375,7.875,0.125,0.25,1.375,0.375,1.625,"N"
"1930","floweja01",11,1934,53,153.909090909091,20.8181818181818,39.3636363636364,6.81818181818182,1.63636363636364,1.45454545454545,18.2727272727273,5.27272727272727,1.09090909090909,12.6363636363636,17.2727272727273,1,0.545454545454545,5.18181818181818,1,2.90909090909091,"N"
"1931","flowety01",12,2020,66.8333333333333,204.666666666667,22.25,48.5,9.25,0.416666666666667,7.16666666666667,25.0833333333333,0.166666666666667,0.5,71,18.9166666666667,0.5,6.25,0.333333333333333,1.16666666666667,4.66666666666667,"N"
"1932","floydbo01",8,1974,26.75,53.125,5.125,11.625,2.25,0.125,0,3.25,0.25,0.25,12.375,3.5,0.125,0,0.625,0.625,1.375,"N"
"1933","floydcl01",19,2009,85.3157894736842,279.947368421053,43.3684210526316,77.8421052631579,17.8947368421053,1.21052631578947,12.2631578947368,45.5263157894737,7.78947368421053,2.26315789473684,56,31.6315789473684,4.57894736842105,4.78947368421053,0.210526315789474,2.52631578947368,4.47368421052632,"N"
"1934","flynndo01",14,1985,93.4285714285714,275.214285714286,20.5714285714286,65.5714285714286,8.21428571428571,2.78571428571429,0.5,20.2857142857143,1.42857142857143,1.42857142857143,22.8571428571429,10.7857142857143,4.14285714285714,0.0714285714285714,4.28571428571429,1.42857142857143,6.78571428571429,"N"
"1935","flynnjo03",3,1912,49.6666666666667,154,15.3333333333333,38.3333333333333,4.66666666666667,1.33333333333333,2,20,2.66666666666667,1,25.6666666666667,15.3333333333333,1,0.666666666666667,6.66666666666667,1,3,"N"
"1936","foileha01",16,1964,38,90.9375,10.6875,22.0625,3.6875,0.625,2.875,10.375,0.1875,0.4375,18.4375,10.625,2.0625,0.125,1.1875,0.6875,1.9375,"N"
"1937","foleyma01",5,1984,40.6,83.8,7.4,18.8,2,0,2.4,10.2,0,0.2,12.2,8.2,1.2,0.6,1,1.8,1.2,"N"
"1938","foleyto02",15,1995,73.8666666666667,180.533333333333,16.5333333333333,44.0666666666667,8.93333333333333,1.33333333333333,2.13333333333333,17.5333333333333,2.13333333333333,1.93333333333333,25.8,15.4666666666667,3.2,0.466666666666667,1.13333333333333,1.6,3.26666666666667,"N"
